year,age_group,gender,education_level,income_bracket,population_count
2008,00 to 17,Male,Children under 15,,
2008,00 to 17,Male,No high school diploma,,650889.0
2008,00 to 17,Male,No high school diploma,50009999,30152.0
2008,00 to 17,Male,No high school diploma,1000014999,7092.0
2008,00 to 17,Male,No high school diploma,1500024999,3974.0
2008,00 to 17,Male,No high school diploma,2500034999,2606.0
2008,00 to 17,Male,No high school diploma,3500049999,2227.0
2008,00 to 17,Male,High school or equivalent,,
2008,00 to 17,Male,"Some college, less than 4-yr degree",,8664.0
2008,00 to 17,Male,"Some college, less than 4-yr degree",1000014999,1304.0
2008,00 to 17,Male,"Some college, less than 4-yr degree",1500024999,3465.0
2008,00 to 17,Male,Bachelor's degree or higher,,
2008,00 to 17,Female,Children under 15,,
2008,00 to 17,Female,No high school diploma,,635274.0
2008,00 to 17,Female,No high school diploma,50009999,33202.0
2008,00 to 17,Female,No high school diploma,1000014999,6857.0
2008,00 to 17,Female,No high school diploma,1500024999,2009.0
2008,00 to 17,Female,High school or equivalent,,4711.0
2008,00 to 17,Female,High school or equivalent,50009999,7672.0
2008,00 to 17,Female,"Some college, less than 4-yr degree",,7598.0
2008,00 to 17,Female,"Some college, less than 4-yr degree",50009999,1565.0
2008,18 to 64,Male,No high school diploma,,261172.0
2008,18 to 64,Male,No high school diploma,50009999,163263.0
2008,18 to 64,Male,No high school diploma,1000014999,317119.0
2008,18 to 64,Male,No high school diploma,1500024999,573769.0
2008,18 to 64,Male,No high school diploma,2500034999,333713.0
2008,18 to 64,Male,No high school diploma,3500049999,222761.0
2008,18 to 64,Male,No high school diploma,5000074999,109200.0
2008,18 to 64,Male,No high school diploma,75000,44291.0
2008,18 to 64,Male,High school or equivalent,,296555.0
2008,18 to 64,Male,High school or equivalent,50009999,187833.0
2008,18 to 64,Male,High school or equivalent,1000014999,229724.0
2008,18 to 64,Male,High school or equivalent,1500024999,501296.0
2008,18 to 64,Male,High school or equivalent,2500034999,433340.0
2008,18 to 64,Male,High school or equivalent,3500049999,472466.0
2008,18 to 64,Male,High school or equivalent,5000074999,424046.0
2008,18 to 64,Male,High school or equivalent,75000,175104.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",,237810.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",50009999,211318.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",1000014999,224732.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",1500024999,416638.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",2500034999,418686.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",3500049999,539958.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",5000074999,591795.0
2008,18 to 64,Male,"Some college, less than 4-yr degree",75000,478470.0
2008,18 to 64,Male,Bachelor's degree or higher,,94464.0
2008,18 to 64,Male,Bachelor's degree or higher,50009999,52069.0
2008,18 to 64,Male,Bachelor's degree or higher,1000014999,88070.0
2008,18 to 64,Male,Bachelor's degree or higher,1500024999,201443.0
2008,18 to 64,Male,Bachelor's degree or higher,2500034999,236263.0
2008,18 to 64,Male,Bachelor's degree or higher,3500049999,387555.0
2008,18 to 64,Male,Bachelor's degree or higher,5000074999,690627.0
2008,18 to 64,Male,Bachelor's degree or higher,75000,1456566.0
2008,18 to 64,Female,No high school diploma,,740143.0
2008,18 to 64,Female,No high school diploma,50009999,252509.0
2008,18 to 64,Female,No high school diploma,1000014999,229721.0
2008,18 to 64,Female,No high school diploma,1500024999,317043.0
2008,18 to 64,Female,No high school diploma,2500034999,93849.0
2008,18 to 64,Female,No high school diploma,3500049999,51599.0
2008,18 to 64,Female,No high school diploma,5000074999,15192.0
2008,18 to 64,Female,No high school diploma,75000,4233.0
2008,18 to 64,Female,High school or equivalent,,528876.0
2008,18 to 64,Female,High school or equivalent,50009999,241389.0
2008,18 to 64,Female,High school or equivalent,1000014999,241913.0
2008,18 to 64,Female,High school or equivalent,1500024999,420710.0
2008,18 to 64,Female,High school or equivalent,2500034999,293265.0
2008,18 to 64,Female,High school or equivalent,3500049999,249327.0
2008,18 to 64,Female,High school or equivalent,5000074999,131571.0
2008,18 to 64,Female,High school or equivalent,75000,59350.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",,451575.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",50009999,327251.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",1000014999,334679.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",1500024999,497615.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",2500034999,496456.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",3500049999,536363.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",5000074999,345723.0
2008,18 to 64,Female,"Some college, less than 4-yr degree",75000,179877.0
2008,18 to 64,Female,Bachelor's degree or higher,,224757.0
2008,18 to 64,Female,Bachelor's degree or higher,50009999,131590.0
2008,18 to 64,Female,Bachelor's degree or higher,1000014999,148626.0
2008,18 to 64,Female,Bachelor's degree or higher,1500024999,345795.0
2008,18 to 64,Female,Bachelor's degree or higher,2500034999,320338.0
2008,18 to 64,Female,Bachelor's degree or higher,3500049999,503031.0
2008,18 to 64,Female,Bachelor's degree or higher,5000074999,770798.0
2008,18 to 64,Female,Bachelor's degree or higher,75000,781211.0
2008,65 to 80+,Male,No high school diploma,,33353.0
2008,65 to 80+,Male,No high school diploma,50009999,71652.0
2008,65 to 80+,Male,No high school diploma,1000014999,124247.0
2008,65 to 80+,Male,No high school diploma,1500024999,69185.0
2008,65 to 80+,Male,No high school diploma,2500034999,16279.0
2008,65 to 80+,Male,No high school diploma,3500049999,21985.0
2008,65 to 80+,Male,No high school diploma,5000074999,13271.0
2008,65 to 80+,Male,No high school diploma,75000,5801.0
2008,65 to 80+,Male,High school or equivalent,,8278.0
2008,65 to 80+,Male,High school or equivalent,50009999,46783.0
2008,65 to 80+,Male,High school or equivalent,1000014999,75602.0
2008,65 to 80+,Male,High school or equivalent,1500024999,108184.0
2008,65 to 80+,Male,High school or equivalent,2500034999,37651.0
2008,65 to 80+,Male,High school or equivalent,3500049999,48804.0
2008,65 to 80+,Male,High school or equivalent,5000074999,27164.0
2008,65 to 80+,Male,High school or equivalent,75000,8527.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",,1923.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",50009999,21902.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",1000014999,66280.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",1500024999,108057.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",2500034999,62955.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",3500049999,46427.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",5000074999,22443.0
2008,65 to 80+,Male,"Some college, less than 4-yr degree",75000,34723.0
2008,65 to 80+,Male,Bachelor's degree or higher,,25141.0
2008,65 to 80+,Male,Bachelor's degree or higher,50009999,27004.0
2008,65 to 80+,Male,Bachelor's degree or higher,1000014999,43599.0
2008,65 to 80+,Male,Bachelor's degree or higher,1500024999,70274.0
2008,65 to 80+,Male,Bachelor's degree or higher,2500034999,51983.0
2008,65 to 80+,Male,Bachelor's degree or higher,3500049999,73084.0
2008,65 to 80+,Male,Bachelor's degree or higher,5000074999,82823.0
2008,65 to 80+,Male,Bachelor's degree or higher,75000,161013.0
2008,65 to 80+,Female,No high school diploma,,69280.0
2008,65 to 80+,Female,No high school diploma,50009999,178234.0
2008,65 to 80+,Female,No high school diploma,1000014999,182135.0
2008,65 to 80+,Female,No high school diploma,1500024999,42275.0
2008,65 to 80+,Female,No high school diploma,2500034999,14645.0
2008,65 to 80+,Female,No high school diploma,3500049999,8109.0
2008,65 to 80+,Female,No high school diploma,5000074999,8297.0
2008,65 to 80+,Female,No high school diploma,75000,1981.0
2008,65 to 80+,Female,High school or equivalent,,34242.0
2008,65 to 80+,Female,High school or equivalent,50009999,188067.0
2008,65 to 80+,Female,High school or equivalent,1000014999,156811.0
2008,65 to 80+,Female,High school or equivalent,1500024999,164592.0
2008,65 to 80+,Female,High school or equivalent,2500034999,78590.0
2008,65 to 80+,Female,High school or equivalent,3500049999,34003.0
2008,65 to 80+,Female,High school or equivalent,5000074999,29183.0
2008,65 to 80+,Female,High school or equivalent,75000,12086.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",,12954.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",50009999,93823.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",1000014999,120242.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",1500024999,149462.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",2500034999,73070.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",3500049999,48577.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",5000074999,27158.0
2008,65 to 80+,Female,"Some college, less than 4-yr degree",75000,35445.0
2008,65 to 80+,Female,Bachelor's degree or higher,,12915.0
2008,65 to 80+,Female,Bachelor's degree or higher,50009999,50596.0
2008,65 to 80+,Female,Bachelor's degree or higher,1000014999,54641.0
2008,65 to 80+,Female,Bachelor's degree or higher,1500024999,42390.0
2008,65 to 80+,Female,Bachelor's degree or higher,2500034999,42705.0
2008,65 to 80+,Female,Bachelor's degree or higher,3500049999,75697.0
2008,65 to 80+,Female,Bachelor's degree or higher,5000074999,64954.0
2008,65 to 80+,Female,Bachelor's degree or higher,75000,60942.0
2009,00 to 17,Male,Children under 15,,
2009,00 to 17,Male,No high school diploma,,629969.0
2009,00 to 17,Male,No high school diploma,50009999,41863.0
2009,00 to 17,Male,No high school diploma,1000014999,7651.0
2009,00 to 17,Male,No high school diploma,1500024999,3222.0
2009,00 to 17,Male,No high school diploma,2500034999,1829.0
2009,00 to 17,Male,High school or equivalent,,
2009,00 to 17,Male,High school or equivalent,50009999,1185.0
2009,00 to 17,Male,High school or equivalent,1500024999,2520.0
2009,00 to 17,Male,"Some college, less than 4-yr degree",,2887.0
2009,00 to 17,Male,"Some college, less than 4-yr degree",50009999,1117.0
2009,00 to 17,Male,"Some college, less than 4-yr degree",1000014999,1878.0
2009,00 to 17,Male,"Some college, less than 4-yr degree",1500024999,2754.0
2009,00 to 17,Male,Bachelor's degree or higher,,
2009,00 to 17,Female,Children under 15,,
2009,00 to 17,Female,No high school diploma,,648149.0
2009,00 to 17,Female,No high school diploma,50009999,29280.0
2009,00 to 17,Female,No high school diploma,1000014999,11341.0
2009,00 to 17,Female,No high school diploma,3500049999,1800.0
2009,00 to 17,Female,No high school diploma,5000074999,1797.0
2009,00 to 17,Female,High school or equivalent,,9209.0
2009,00 to 17,Female,High school or equivalent,50009999,3169.0
2009,00 to 17,Female,High school or equivalent,1500024999,1294.0
2009,00 to 17,Female,"Some college, less than 4-yr degree",,4408.0
2009,00 to 17,Female,"Some college, less than 4-yr degree",1500024999,1780.0
2009,18 to 64,Male,No high school diploma,,280947.0
2009,18 to 64,Male,No high school diploma,50009999,229865.0
2009,18 to 64,Male,No high school diploma,1000014999,278224.0
2009,18 to 64,Male,No high school diploma,1500024999,534542.0
2009,18 to 64,Male,No high school diploma,2500034999,307653.0
2009,18 to 64,Male,No high school diploma,3500049999,247159.0
2009,18 to 64,Male,No high school diploma,5000074999,79922.0
2009,18 to 64,Male,No high school diploma,75000,48803.0
2009,18 to 64,Male,High school or equivalent,,296927.0
2009,18 to 64,Male,High school or equivalent,50009999,216871.0
2009,18 to 64,Male,High school or equivalent,1000014999,213345.0
2009,18 to 64,Male,High school or equivalent,1500024999,503750.0
2009,18 to 64,Male,High school or equivalent,2500034999,440200.0
2009,18 to 64,Male,High school or equivalent,3500049999,481130.0
2009,18 to 64,Male,High school or equivalent,5000074999,350784.0
2009,18 to 64,Male,High school or equivalent,75000,190948.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",,212039.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",50009999,235730.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",1000014999,288174.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",1500024999,392488.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",2500034999,375408.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",3500049999,486983.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",5000074999,584200.0
2009,18 to 64,Male,"Some college, less than 4-yr degree",75000,521502.0
2009,18 to 64,Male,Bachelor's degree or higher,,88688.0
2009,18 to 64,Male,Bachelor's degree or higher,50009999,70367.0
2009,18 to 64,Male,Bachelor's degree or higher,1000014999,84122.0
2009,18 to 64,Male,Bachelor's degree or higher,1500024999,201713.0
2009,18 to 64,Male,Bachelor's degree or higher,2500034999,251200.0
2009,18 to 64,Male,Bachelor's degree or higher,3500049999,366170.0
2009,18 to 64,Male,Bachelor's degree or higher,5000074999,682775.0
2009,18 to 64,Male,Bachelor's degree or higher,75000,1497839.0
2009,18 to 64,Female,No high school diploma,,654156.0
2009,18 to 64,Female,No high school diploma,50009999,248027.0
2009,18 to 64,Female,No high school diploma,1000014999,255296.0
2009,18 to 64,Female,No high school diploma,1500024999,359624.0
2009,18 to 64,Female,No high school diploma,2500034999,86580.0
2009,18 to 64,Female,No high school diploma,3500049999,30741.0
2009,18 to 64,Female,No high school diploma,5000074999,24592.0
2009,18 to 64,Female,No high school diploma,75000,10943.0
2009,18 to 64,Female,High school or equivalent,,519946.0
2009,18 to 64,Female,High school or equivalent,50009999,234527.0
2009,18 to 64,Female,High school or equivalent,1000014999,221787.0
2009,18 to 64,Female,High school or equivalent,1500024999,450205.0
2009,18 to 64,Female,High school or equivalent,2500034999,318602.0
2009,18 to 64,Female,High school or equivalent,3500049999,234705.0
2009,18 to 64,Female,High school or equivalent,5000074999,134763.0
2009,18 to 64,Female,High school or equivalent,75000,57292.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",,387007.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",50009999,345944.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",1000014999,370518.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",1500024999,647024.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",2500034999,454455.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",3500049999,459975.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",5000074999,347119.0
2009,18 to 64,Female,"Some college, less than 4-yr degree",75000,200198.0
2009,18 to 64,Female,Bachelor's degree or higher,,243154.0
2009,18 to 64,Female,Bachelor's degree or higher,50009999,160748.0
2009,18 to 64,Female,Bachelor's degree or higher,1000014999,136360.0
2009,18 to 64,Female,Bachelor's degree or higher,1500024999,311511.0
2009,18 to 64,Female,Bachelor's degree or higher,2500034999,320129.0
2009,18 to 64,Female,Bachelor's degree or higher,3500049999,495664.0
2009,18 to 64,Female,Bachelor's degree or higher,5000074999,767013.0
2009,18 to 64,Female,Bachelor's degree or higher,75000,682401.0
2009,65 to 80+,Male,No high school diploma,,18196.0
2009,65 to 80+,Male,No high school diploma,50009999,71415.0
2009,65 to 80+,Male,No high school diploma,1000014999,98666.0
2009,65 to 80+,Male,No high school diploma,1500024999,72908.0
2009,65 to 80+,Male,No high school diploma,2500034999,41437.0
2009,65 to 80+,Male,No high school diploma,3500049999,24599.0
2009,65 to 80+,Male,No high school diploma,5000074999,18475.0
2009,65 to 80+,Male,No high school diploma,75000,2915.0
2009,65 to 80+,Male,High school or equivalent,,11528.0
2009,65 to 80+,Male,High school or equivalent,50009999,37770.0
2009,65 to 80+,Male,High school or equivalent,1000014999,71193.0
2009,65 to 80+,Male,High school or equivalent,1500024999,64082.0
2009,65 to 80+,Male,High school or equivalent,2500034999,50987.0
2009,65 to 80+,Male,High school or equivalent,3500049999,59302.0
2009,65 to 80+,Male,High school or equivalent,5000074999,35227.0
2009,65 to 80+,Male,High school or equivalent,75000,23963.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",,17061.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",50009999,23224.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",1000014999,30456.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",1500024999,88779.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",2500034999,55910.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",3500049999,69546.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",5000074999,39410.0
2009,65 to 80+,Male,"Some college, less than 4-yr degree",75000,58478.0
2009,65 to 80+,Male,Bachelor's degree or higher,,6660.0
2009,65 to 80+,Male,Bachelor's degree or higher,50009999,34492.0
2009,65 to 80+,Male,Bachelor's degree or higher,1000014999,36484.0
2009,65 to 80+,Male,Bachelor's degree or higher,1500024999,52607.0
2009,65 to 80+,Male,Bachelor's degree or higher,2500034999,76215.0
2009,65 to 80+,Male,Bachelor's degree or higher,3500049999,77792.0
2009,65 to 80+,Male,Bachelor's degree or higher,5000074999,109490.0
2009,65 to 80+,Male,Bachelor's degree or higher,75000,212440.0
2009,65 to 80+,Female,No high school diploma,,73024.0
2009,65 to 80+,Female,No high school diploma,50009999,178289.0
2009,65 to 80+,Female,No high school diploma,1000014999,149933.0
2009,65 to 80+,Female,No high school diploma,1500024999,64958.0
2009,65 to 80+,Female,No high school diploma,2500034999,20186.0
2009,65 to 80+,Female,No high school diploma,3500049999,4060.0
2009,65 to 80+,Female,No high school diploma,5000074999,7703.0
2009,65 to 80+,Female,No high school diploma,75000,1398.0
2009,65 to 80+,Female,High school or equivalent,,43907.0
2009,65 to 80+,Female,High school or equivalent,50009999,116176.0
2009,65 to 80+,Female,High school or equivalent,1000014999,151357.0
2009,65 to 80+,Female,High school or equivalent,1500024999,152036.0
2009,65 to 80+,Female,High school or equivalent,2500034999,58811.0
2009,65 to 80+,Female,High school or equivalent,3500049999,27349.0
2009,65 to 80+,Female,High school or equivalent,5000074999,42710.0
2009,65 to 80+,Female,High school or equivalent,75000,19659.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",,12106.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",50009999,75617.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",1000014999,89119.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",1500024999,140082.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",2500034999,81764.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",3500049999,59529.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",5000074999,57036.0
2009,65 to 80+,Female,"Some college, less than 4-yr degree",75000,33358.0
2009,65 to 80+,Female,Bachelor's degree or higher,,10741.0
2009,65 to 80+,Female,Bachelor's degree or higher,50009999,57811.0
2009,65 to 80+,Female,Bachelor's degree or higher,1000014999,70495.0
2009,65 to 80+,Female,Bachelor's degree or higher,1500024999,85667.0
2009,65 to 80+,Female,Bachelor's degree or higher,2500034999,58901.0
2009,65 to 80+,Female,Bachelor's degree or higher,3500049999,68234.0
2009,65 to 80+,Female,Bachelor's degree or higher,5000074999,61489.0
2009,65 to 80+,Female,Bachelor's degree or higher,75000,57029.0
2010,00 to 17,Male,Children under 15,,
2010,00 to 17,Male,No high school diploma,,596761.0
2010,00 to 17,Male,No high school diploma,50009999,21116.0
2010,00 to 17,Male,No high school diploma,1000014999,5345.0
2010,00 to 17,Male,No high school diploma,1500024999,9139.0
2010,00 to 17,Male,No high school diploma,3500049999,3642.0
2010,00 to 17,Male,High school or equivalent,,
2010,00 to 17,Male,High school or equivalent,1000014999,1817.0
2010,00 to 17,Male,"Some college, less than 4-yr degree",,
2010,00 to 17,Male,"Some college, less than 4-yr degree",50009999,2683.0
2010,00 to 17,Male,"Some college, less than 4-yr degree",1500024999,1434.0
2010,00 to 17,Male,"Some college, less than 4-yr degree",2500034999,1447.0
2010,00 to 17,Male,Bachelor's degree or higher,,
2010,00 to 17,Male,Bachelor's degree or higher,75000,1192.0
2010,00 to 17,Female,Children under 15,,
2010,00 to 17,Female,No high school diploma,,610512.0
2010,00 to 17,Female,No high school diploma,50009999,24781.0
2010,00 to 17,Female,No high school diploma,1000014999,6967.0
2010,00 to 17,Female,No high school diploma,1500024999,6386.0
2010,00 to 17,Female,High school or equivalent,,5811.0
2010,00 to 17,Female,High school or equivalent,50009999,3641.0
2010,00 to 17,Female,High school or equivalent,1000014999,1660.0
2010,00 to 17,Female,High school or equivalent,2500034999,1048.0
2010,00 to 17,Female,"Some college, less than 4-yr degree",1500024999,
2010,00 to 17,Female,Bachelor's degree or higher,,2879.0
2010,18 to 64,Male,No high school diploma,,369566.0
2010,18 to 64,Male,No high school diploma,50009999,226209.0
2010,18 to 64,Male,No high school diploma,1000014999,295536.0
2010,18 to 64,Male,No high school diploma,1500024999,535027.0
2010,18 to 64,Male,No high school diploma,2500034999,244978.0
2010,18 to 64,Male,No high school diploma,3500049999,192622.0
2010,18 to 64,Male,No high school diploma,5000074999,93885.0
2010,18 to 64,Male,No high school diploma,75000,38266.0
2010,18 to 64,Male,High school or equivalent,,345253.0
2010,18 to 64,Male,High school or equivalent,50009999,190829.0
2010,18 to 64,Male,High school or equivalent,1000014999,209509.0
2010,18 to 64,Male,High school or equivalent,1500024999,533513.0
2010,18 to 64,Male,High school or equivalent,2500034999,412122.0
2010,18 to 64,Male,High school or equivalent,3500049999,470369.0
2010,18 to 64,Male,High school or equivalent,5000074999,339017.0
2010,18 to 64,Male,High school or equivalent,75000,215851.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",,310460.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",50009999,220408.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",1000014999,234677.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",1500024999,356706.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",2500034999,374227.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",3500049999,474116.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",5000074999,581119.0
2010,18 to 64,Male,"Some college, less than 4-yr degree",75000,441967.0
2010,18 to 64,Male,Bachelor's degree or higher,,108052.0
2010,18 to 64,Male,Bachelor's degree or higher,50009999,79453.0
2010,18 to 64,Male,Bachelor's degree or higher,1000014999,127848.0
2010,18 to 64,Male,Bachelor's degree or higher,1500024999,234951.0
